Price,Close,High,Low,Open,Volume
Ticker,CBA.AX,CBA.AX,CBA.AX,CBA.AX,CBA.AX
Date,,,,,
2020-11-27,66.12205505371094,66.92492751877147,65.9663946394684,66.35963969897968,2403041
2020-11-30,64.77849578857422,66.56447202650209,64.77849578857422,66.07292025239036,4762676
2020-12-01,65.74520874023438,66.05652336636123,64.54909728142808,64.7293343677612,2463844
2020-12-02,65.622314453125,65.8598991177062,65.00787329485526,65.81074582517861,3014706
2020-12-03,65.179931640625,65.62233013031859,65.11439598507127,65.5404058730613,1879664
2020-12-04,65.6878662109375,66.04834041140609,65.2700444104325,65.37655156079984,2250549
2020-12-07,66.14665222167969,66.19171150028762,65.58137047691285,65.95003275612687,2093503
2020-12-08,67.02325439453125,67.02325439453125,65.54040473748019,65.85171940983199,3903389
2020-12-09,68.1456298828125,68.48971547631334,67.04782495300857,67.17890875077241,4244217
2020-12-10,68.07188415527344,69.03860515199207,67.90803568142363,68.44874689588154,5242972
2020-12-11,67.49842071533203,68.0391320296753,67.31818361055093,67.9162425263773,2534051
2020-12-14,68.75187683105469,69.2598171718315,67.58853625262533,67.58853625262533,2641931
2020-12-15,68.05550384521484,69.19426764868889,67.84249582249905,69.06319011576912,2858544
2020-12-16,68.69451904296875,69.37450207966114,68.10465454127986,68.10465454127986,2037896
2020-12-17,69.40727233886719,69.5055789212322,68.89933207844673,69.30076520741373,4344206
2020-12-18,68.12925720214844,69.18609078211172,68.12925720214844,69.14513177731229,8380263
2020-12-21,67.9981689453125,68.41599076967238,67.45745761373854,68.09648180116776,1607940
2020-12-22,67.52299499511719,68.52248708623219,67.32637554699575,67.79335064279641,1995338
2020-12-23,68.1456298828125,68.29309603008707,67.67046049154781,67.82612093878751,1402217
2020-12-24,68.12104797363281,69.22704086758738,68.12104797363281,68.79283675925417,883611
2020-12-29,68.82560729980469,69.16149856542269,68.65356451735366,68.65356451735366,1165218
2020-12-30,68.48153686523438,68.65358595182015,68.07190927900734,68.44877215870663,1340818
2020-12-31,67.26902770996094,68.67814729243064,67.26902770996094,68.32586739681321,1120867
2021-01-04,68.61260223388672,68.75187407563399,67.31817790955277,67.36733745696066,1414844
2021-01-05,68.18659210205078,68.21116875043445,67.57624491537288,67.9981607137439,1809541
2021-01-06,67.91624450683594,68.28490677706046,67.40830412858841,67.74420169736983,2252786
2021-01-07,69.29259490966797,69.78414669866812,68.57164645207563,69.12874014638784,3011086
2021-01-08,70.1528091430664,70.1528091430664,69.46873191211324,69.62848640017512,2446079
2021-01-11,69.76775360107422,70.15279817202803,69.58751651443843,69.96437303630455,1840016
2021-01-12,70.35762023925781,70.6689411531965,69.86606846775766,70.03811127526173,1940939
2021-01-13,70.43135833740234,70.53785924479276,69.72679848747799,69.96438320435202,1887641
2021-01-14,70.72628784179688,70.7836354435572,69.96438041816978,70.04630467062456,2524347
2021-01-15,69.94798278808594,70.84097390070343,69.84148189868453,70.5378473302885,2866714
2021-01-18,69.3663101196289,69.91930967121154,68.9484946255279,69.71858997276935,1469159
2021-01-19,69.72679901123047,70.13642654331365,69.56295049856524,69.63668045413857,2049672
2021-01-20,69.12053680419922,69.7923255589747,69.02222396798133,69.72678366816277,1663224
2021-01-21,69.89884185791016,70.02992566844078,69.23524725575415,69.66125713913847,2358103
2021-01-22,69.71039581298828,69.89882718847556,69.48100544312119,69.63666587285334,4575426
2021-01-25,69.85787200927734,70.24292286435735,69.47282740461702,69.72679445778908,1361881
2021-01-27,70.94747924804688,71.20964058878532,70.34123231954287,70.50508081359712,2843239
2021-01-28,69.7513656616211,70.01352699454688,68.73549127783605,69.89063750245872,3455937
2021-01-29,68.41598510742188,70.5296582048081,68.30947795978844,70.44773395691892,4486404
2021-02-01,69.37451171875,69.37451171875,67.19529047921435,67.99816310704838,2604306
2021-02-02,70.93928527832031,71.25060616905921,69.9234108595341,70.144613202998,2678902
